Position,x,y,z,AP1_2.4G,AP1_5G,AP2_2.4G,AP2_5G,AP3_2.4G,AP3_5G,AP4_2.4G,AP4_5G,time
0,0,0,2,-28,-39,-40,-45,-47,-69,-67,-57,1655197184.8205385
0,0,0,2,-32,-38,-38,-46,-45,-74,-41,-51,1655197192.9556935
0,0,0,2,-36,-38,-38,-49,-47,-64,-39,-58,1655197197.0241592
0,1,0,2,-28,-45,-39,-50,-47,-66,-40,-53,1655197220.0564878
0,1,0,2,-30,-43,-39,-49,-47,-66,-42,-56,1655197224.1771512
0,1,0,2,-30,-41,-38,-45,-90,-64,-42,-56,1655197228.402957
0,1,0,2,-28,-40,-43,-44,-49,-64,-47,-52,1655197251.817015
0,1,0,2,-28,-38,-42,-45,-49,-67,-47,-53,1655197255.9586997
0,1,0,2,-29,-38,-38,-44,-49,-66,-47,-54,1655197260.129395
0,2,0,2,-31,-42,-44,-47,-90,-65,-37,-52,1655197283.6816866
0,2,0,2,-40,-41,-43,-46,-47,-67,-33,-46,1655197298.3130872
0,2,0,2,-33,-41,-40,-45,-46,-65,-36,-45,1655197302.5724318
0,2,0,2,-33,-39,-42,-44,-49,-67,-39,-46,1655197310.6793828
0,3,0,2,-31,-40,-35,-45,-48,-59,-33,-48,1655197321.1992726
0,3,0,2,-35,-40,-30,-49,-48,-58,-28,-48,1655197325.375127
0,3,0,2,-37,-39,-30,-46,-45,-60,-27,-44,1655197329.524678
0,3,0,2,-34,-39,-29,-46,-48,-61,-29,-44,1655197333.7480702
0,4,0,2,-34,-49,-36,-47,-50,-57,-32,-43,1655197344.8482597
0,4,0,2,-31,-51,-32,-44,-46,-58,-34,-43,1655197348.9983444
0,4,0,2,-31,-48,-32,-44,-46,-58,-31,-45,1655197353.2214262
0,4,0,2,-32,-48,-31,-46,-42,-58,-36,-41,1655197357.3264291
0,5,0,2,-41,-52,-39,-48,-42,-59,-32,-47,1655197369.7106
0,5,0,2,-42,-55,-36,-41,-51,-60,-33,-45,1655197373.9065578
0,5,0,2,-43,-49,-34,-42,-45,-60,-31,-43,1655197378.0685656
0,5,0,2,-44,-48,-34,-43,-47,-62,-34,-45,1655197382.3280246
0,6,0,2,-42,-47,-40,-39,-47,-65,-38,-48,1655197397.6909487
0,6,0,2,-52,-55,-36,-39,-47,-68,-30,-46,1655197401.9752638
0,6,0,2,-43,-50,-40,-39,-43,-65,-27,-48,1655197406.1275792
0,6,0,2,-40,-48,-39,-39,-44,-62,-31,-50,1655197410.372145
0,7,0,2,-45,-51,-47,-47,-53,-57,-34,-41,1655197420.771491
0,7,0,2,-48,-48,-47,-45,-48,-56,-37,-42,1655197424.9958854
0,7,0,2,-50,-51,-48,-44,-51,-57,-38,-43,1655197433.1587493
0,8,0,2,-44,-54,-38,-44,-44,-58,-39,-43,1655197443.931937
0,8,0,2,-44,-54,-67,-45,-43,-65,-45,-49,1655197448.1407053
0,8,0,2,-47,-53,-38,-39,-46,-57,-40,-52,1655197452.1987135
0,8,0,2,-45,-53,-35,-40,-42,-55,-43,-45,1655197456.3121352
0,9,0,2,-48,-52,-40,-42,-40,-48,-27,-42,1655197469.0366387
0,9,0,2,-58,-51,-39,-42,-40,-53,-28,-40,1655197473.231025
0,9,0,2,-45,-62,-39,-42,-42,-47,-27,-38,1655197477.3820548
0,9,0,2,-47,-57,-39,-41,-46,-48,-26,-40,1655197481.6297169
0,10,0,2,-50,-54,-42,-44,-46,-53,-28,-33,1655197489.6144419
0,10,0,2,-50,-54,-46,-44,-45,-58,-25,-33,1655197493.8959115
0,10,0,2,-47,-54,-48,-44,-39,-50,-26,-38,1655197498.0824394
0,10,0,2,-46,-53,-41,-45,-38,-52,-28,-33,1655197502.3745952
0,10,0,2,-48,-58,-44,-43,-38,-49,-30,-33,1655197506.5810668
0,11,0,2,-52,-51,-38,-39,-46,-52,-32,-26,1655197528.8546474
0,11,0,2,-47,-51,-40,-38,-43,-52,-27,-25,1655197532.9908013
0,11,0,2,-52,-53,-39,-38,-44,-52,-27,-26,1655197537.225468
0,11,0,2,-53,-53,-39,-39,-44,-53,-30,-26,1655197541.360935
0,12,0,2,-51,-57,-46,-38,-41,-57,-31,-28,1655197558.2072551
0,12,0,2,-51,-56,-44,-39,-46,-59,-27,-27,1655197562.3783424
0,12,0,2,-48,-57,-45,-41,-49,-60,-29,-28,1655197566.6241128
0,12,0,2,-47,-55,-46,-39,-48,-60,-32,-27,1655197570.793217
0,12,1,2,-44,-55,-42,-42,-40,-55,-29,-37,1655197592.741858
0,12,1,2,-56,-58,-46,-43,-40,-59,-30,-35,1655197596.8814518
0,12,1,2,-51,-59,-47,-41,-44,-56,-30,-39,1655197601.1068537
0,12,1,2,-47,-56,-42,-42,-42,-57,-33,-41,1655197605.2873244
0,11,1,2,-44,-55,-38,-39,-41,-57,-26,-29,1655197633.6749713
0,11,1,2,-44,-52,-38,-44,-45,-57,-26,-30,1655197637.8987563
0,11,1,2,-42,-55,-41,-41,-42,-56,-28,-33,1655197642.056731
0,11,1,2,-43,-56,-39,-40,-43,-57,-28,-33,1655197646.281159
0,10,1,2,-47,-59,-40,-40,-44,-57,-27,-35,1655197678.2161188
0,10,1,2,-51,-53,-41,-38,-45,-55,-28,-34,1655197682.3444014
0,10,1,2,-51,-57,-39,-39,-49,-55,-27,-30,1655197686.4912472
0,10,1,2,-59,-54,-40,-39,-45,-55,-68,-30,1655197690.6782417
0,9,1,2,-49,-53,-44,-42,-45,-61,-37,-42,1655197705.4354625
0,9,1,2,-47,-52,-40,-42,-46,-58,-30,-43,1655197709.6281726
0,9,1,2,-46,-52,-40,-41,-42,-57,-32,-43,1655197713.9015205
0,9,1,2,-46,-53,-39,-40,-44,-59,-29,-43,1655197718.0669012
0,8,1,2,-67,-52,-41,-39,-40,-54,-31,-43,1655197735.4630146
0,8,1,2,-67,-55,-43,-38,-42,-56,-32,-44,1655197739.667064
0,8,1,2,-43,-53,-43,-37,-42,-56,-33,-45,1655197743.8189714
0,8,1,2,-43,-53,-40,-38,-43,-54,-34,-45,1655197747.9532664
0,7,1,2,-39,-44,-35,-43,-43,-57,-26,-42,1655197762.7011666
0,7,1,2,-39,-46,-42,-40,-43,-55,-27,-42,1655197766.8702505
0,7,1,2,-38,-46,-43,-41,-45,-58,-28,-43,1655197771.0049677
0,7,1,2,-38,-48,-39,-42,-46,-60,-28,-43,1655197775.2377422
0,6,1,2,-46,-46,-36,-41,-48,-57,-33,-42,1655197790.244767
0,6,1,2,-44,-51,-37,-38,-48,-60,-34,-45,1655197794.3925107
0,6,1,2,-45,-50,-30,-39,-48,-62,-33,-47,1655197798.63566
0,5,1,2,-40,-47,-34,-39,-50,-60,-33,-49,1655197809.8022354
0,5,1,2,-39,-49,-35,-40,-50,-64,-28,-50,1655197813.9895527
0,5,1,2,-43,-44,-34,-43,-46,-64,-29,-51,1655197818.2212818
0,5,1,2,-41,-51,-37,-40,-46,-60,-31,-48,1655197822.418446
0,4,1,2,-43,-46,-38,-42,-46,-60,-31,-44,1655197835.5273707
0,4,1,2,-41,-47,-40,-41,-46,-63,-32,-50,1655197839.5784118
0,4,1,2,-46,-45,-36,-43,-50,-63,-31,-47,1655197843.8166451
0,4,1,2,-43,-46,-38,-39,-49,-64,-34,-45,1655197851.8748746
0,3,1,2,-33,-50,-33,-45,-45,-61,-31,-55,1655197863.4391887
0,3,1,2,-33,-40,-34,-41,-46,-61,-30,-53,1655197867.5859606
0,3,1,2,-38,-40,-32,-42,-46,-63,-30,-58,1655197871.6124256
0,3,1,2,-38,-40,-31,-41,-49,-64,-30,-61,1655197875.7480843
0,2,1,2,-35,-44,-30,-37,-51,-67,-29,-47,1655197893.1554987
0,2,1,2,-39,-42,-30,-39,-50,-62,-30,-49,1655197897.2420366
0,2,1,2,-38,-41,-30,-39,-50,-63,-30,-52,1655197901.3632245
0,2,1,2,-41,-40,-32,-38,-50,-61,-30,-50,1655197905.516473
0,1,1,2,-37,-43,-32,-37,-58,-60,-30,-49,1655197915.708111
0,1,1,2,-38,-43,-31,-37,-58,-61,-28,-48,1655197919.9001684
0,1,1,2,-42,-43,-34,-34,-58,-62,-27,-49,1655197923.960387
0,1,1,2,-38,-46,-37,-34,-58,-64,-28,-53,1655197928.0975943
0,0,1,2,-37,-41,-30,-47,-51,-64,-28,-54,1655197938.7310932
0,0,1,2,-38,-43,-29,-47,-51,-66,-29,-54,1655197942.916248
0,0,1,2,-39,-42,-29,-46,-57,-67,-29,-54,1655197947.0396585
0,0,1,2,-40,-42,-30,-48,-57,-66,-65,-56,1655197951.2258914
0,0,2,2,-30,-42,-32,-35,-90,-65,-36,-49,1655198020.5007508
0,0,2,2,-33,-41,-28,-34,-54,-67,-42,-49,1655198039.4101846
0,0,2,2,-34,-41,-31,-34,-55,-68,-45,-49,1655198043.6107328
0,0,2,2,-33,-42,-29,-37,-55,-70,-45,-49,1655198047.761551
0,0,2,2,-34,-41,-30,-37,-54,-70,-44,-49,1655198051.8895795
0,1,2,2,-34,-44,-38,-39,-51,-65,-34,-48,1655198064.024012
0,1,2,2,-38,-43,-38,-38,-54,-67,-32,-47,1655198068.1778097
0,1,2,2,-36,-44,-29,-38,-54,-67,-31,-48,1655198072.2246435
0,1,2,2,-39,-47,-32,-38,-54,-70,-31,-54,1655198076.3395963
0,2,2,2,-36,-48,-32,-38,-48,-64,-30,-48,1655198089.9923267
0,2,2,2,-45,-52,-30,-39,-48,-61,-30,-51,1655198094.1535435
0,2,2,2,-40,-52,-32,-41,-50,-62,-38,-45,1655198098.3103285
0,3,2,2,-37,-45,-35,-39,-43,-65,-29,-47,1655198113.5931466
0,3,2,2,-39,-46,-42,-39,-52,-60,-29,-47,1655198117.7502613
0,3,2,2,-39,-43,-41,-42,-52,-60,-32,-44,1655198121.9767973
0,3,2,2,-37,-44,-41,-40,-54,-64,-29,-48,1655198126.1083121
0,4,2,2,-40,-46,-36,-37,-49,-63,-30,-48,1655198138.494886
0,4,2,2,-55,-44,-33,-38,-44,-60,-41,-45,1655198142.6244206
0,4,2,2,-34,-42,-31,-35,-49,-69,-29,-48,1655198150.7162814
0,5,2,2,-34,-53,-33,-44,-48,-61,-27,-45,1655198177.5302498
0,5,2,2,-41,-50,-39,-44,-48,-61,-29,-42,1655198181.726747
0,5,2,2,-43,-53,-39,-38,-46,-60,-31,-43,1655198185.9206386
0,5,2,2,-41,-48,-41,-35,-48,-62,-27,-44,1655198190.0678196
0,6,2,2,-48,-50,-35,-33,-47,-63,-41,-43,1655198205.0733612
0,6,2,2,-40,-48,-59,-37,-42,-62,-40,-43,1655198213.2368414
0,6,2,2,-39,-50,-35,-34,-46,-62,-41,-43,1655198217.4573433
0,7,2,2,-41,-51,-37,-38,-46,-57,-32,-41,1655198231.265712
0,7,2,2,-40,-52,-41,-39,-41,-58,-32,-42,1655198235.5207398
0,7,2,2,-39,-47,-44,-42,-41,-59,-28,-39,1655198239.6585598
0,7,2,2,-41,-50,-37,-40,-47,-59,-34,-40,1655198243.9056592
0,8,2,2,-41,-49,-42,-38,-41,-52,-37,-43,1655198257.473872
0,8,2,2,-39,-50,-42,-40,-40,-52,-40,-41,1655198261.6024399
0,8,2,2,-39,-48,-41,-40,-41,-50,-29,-44,1655198265.6621656
0,8,2,2,-41,-50,-62,-39,-40,-48,-28,-43,1655198269.7044215
0,9,2,2,-40,-53,-42,-44,-41,-51,-31,-38,1655198297.1021628
0,9,2,2,-40,-53,-38,-40,-39,-51,-32,-39,1655198301.3179984
0,9,2,2,-43,-50,-38,-39,-40,-52,-32,-38,1655198305.5082195
0,9,2,2,-39,-53,-44,-38,-39,-54,-30,-40,1655198309.7241106
0,10,2,2,-39,-53,-39,-41,-39,-50,-28,-40,1655198321.5734234
0,10,2,2,-44,-52,-38,-42,-39,-47,-28,-40,1655198325.7965808
0,10,2,2,-42,-55,-43,-43,-38,-47,-58,-39,1655198329.8232958
0,10,2,2,-41,-56,-38,-39,-41,-46,-28,-40,1655198333.9806473
0,11,2,2,-51,-52,-47,-47,-36,-50,-30,-33,1655198350.93403
0,11,2,2,-48,-52,-50,-45,-36,-54,-32,-33,1655198355.1722543
0,11,2,2,-48,-55,-46,-47,-44,-55,-31,-31,1655198359.4182432
0,11,2,2,-47,-53,-48,-45,-44,-52,-35,-30,1655198363.5532544
0,12,2,2,-46,-62,-39,-41,-42,-59,-25,-33,1655198374.3658252
0,12,2,2,-45,-56,-40,-43,-47,-53,-27,-33,1655198378.565003
0,12,2,2,-48,-56,-45,-42,-38,-52,-27,-33,1655198382.7142618
0,12,2,2,-48,-58,-42,-46,-41,-51,-21,-34,1655198390.8247595
0,12,3,2,-46,-60,-38,-49,-39,-48,-35,-33,1655198413.7549736
0,12,3,2,-48,-57,-37,-50,-40,-50,-36,-33,1655198417.9602518
0,12,3,2,-44,-57,-40,-51,-39,-47,-31,-32,1655198422.1594708
0,12,3,2,-48,-54,-40,-51,-40,-47,-31,-32,1655198426.3686275
0,11,3,2,-43,-54,-39,-47,-32,-50,-29,-42,1655198440.0012026
0,11,3,2,-45,-56,-37,-45,-35,-50,-37,-40,1655198444.1591187
0,11,3,2,-47,-53,-38,-46,-32,-51,-34,-41,1655198452.3353286
0,10,3,2,-48,-57,-43,-40,-38,-52,-39,-43,1655198464.2587507
0,10,3,2,-46,-59,-39,-43,-38,-54,-36,-42,1655198468.4504957
0,10,3,2,-47,-56,-40,-39,-42,-51,-36,-42,1655198472.5929804
0,10,3,2,-46,-59,-46,-42,-39,-51,-36,-42,1655198476.7956684
0,9,3,2,-47,-56,-38,-43,-50,-58,-35,-46,1655198488.7468054
0,9,3,2,-41,-55,-38,-47,-41,-56,-31,-42,1655198492.900467
0,9,3,2,-41,-58,-43,-47,-43,-52,-32,-42,1655198497.117212
0,9,3,2,-43,-60,-38,-43,-49,-53,-37,-42,1655198501.2791314
0,8,3,2,-48,-56,-38,-40,-43,-51,-33,-43,1655198517.0298421
0,8,3,2,-48,-55,-41,-40,-43,-52,-31,-41,1655198521.1752887
0,8,3,2,-43,-56,-40,-40,-41,-52,-65,-42,1655198525.3139303
0,8,3,2,-47,-56,-40,-39,-42,-54,-32,-45,1655198529.467095
0,7,3,2,-43,-55,-37,-39,-45,-60,-37,-45,1655198551.2476346
0,7,3,2,-40,-60,-35,-43,-49,-60,-46,-42,1655198555.5105155
0,7,3,2,-61,-55,-38,-42,-51,-57,-38,-44,1655198559.681671
0,7,3,2,-40,-54,-42,-39,-49,-56,-35,-44,1655198563.9234483
0,6,3,2,-42,-46,-32,-40,-44,-62,-55,-45,1655198576.934675
0,6,3,2,-47,-49,-31,-41,-44,-70,-55,-44,1655198581.1167912
0,6,3,2,-46,-47,-31,-43,-46,-62,-33,-45,1655198585.2648435
0,6,3,2,-46,-47,-34,-44,-47,-60,-37,-42,1655198589.51831
0,5,3,2,-37,-49,-35,-40,-36,-63,-25,-48,1655198599.4086173
0,5,3,2,-35,-47,-37,-39,-37,-63,-28,-48,1655198603.6282675
0,5,3,2,-38,-50,-35,-39,-40,-65,-28,-48,1655198607.798738
0,5,3,2,-38,-47,-35,-38,-40,-65,-28,-46,1655198611.9796925
0,4,3,2,-39,-52,-32,-40,-40,-63,-26,-50,1655198624.487141
0,4,3,2,-44,-49,-29,-38,-54,-62,-25,-43,1655198632.7133486
0,4,3,2,-44,-51,-34,-40,-54,-62,-28,-46,1655198636.8836372
0,3,3,2,-58,-46,-28,-39,-54,-63,-38,-47,1655198651.6915624
0,3,3,2,-32,-47,-31,-37,-51,-62,-31,-44,1655198655.9292767
0,3,3,2,-31,-46,-33,-38,-48,-61,-35,-49,1655198660.1295211
0,3,3,2,-32,-47,-33,-41,-45,-69,-35,-46,1655198664.2786138
0,2,3,2,-39,-45,-37,-41,-51,-62,-31,-47,1655198680.7970233
